loan_amnt,term,annual_inc,dti,fico_score,inq_last_6mths,delinq_2yrs,open_acc,pub_rec,revol_bal,revol_util,total_acc,emp_length,loan_to_income,fico_dti_ratio,credit_age_proxy,delinq_pub_sum,log_annual_inc,log_revol_bal,home_ownership,purpose,verification_status,addr_state,llm_employment_stability,llm_income_confidence,llm_debt_stress_signal,llm_repayment_intent_score,llm_urgency_flag,llm_financial_literacy_signal,llm_purpose_clarity,llm_future_orientation,loan_idx,y
-0.03912872,-0.21551588,0.067007005,0.012999244,0.21671249,0.0107252635,-0.0003230477,-0.07082224,-0.012171125,0.05315106,-0.0033331546,-0.03571425,0.123525195,-0.10081469,0.017505154,-0.21143462,-0.04213757,0.015816912,0.0017848939,0.12778205,0.005627685,0.08455697,-0.045453604,0.11243173,0.0012246722,0.0050424878,0.0150594795,0.15445179,-0.016795466,0.0009057303,0.061476324,1501,0
-0.0013074116,-0.23562227,0.06202404,0.008591805,0.28102553,-0.028094055,-9.323051e-05,-0.09186103,0.0014084168,0.05987316,0.10543499,-0.022236288,0.040650044,-0.15427944,-0.09344182,-0.29805177,0.016995061,0.020924354,0.0056460127,0.1682488,0.016527647,-0.15943536,-0.11470338,-0.040430002,0.024268,0.038079593,0.046420895,-0.19278689,0.2474942,0.0068365303,-0.022482796,2586,1
-0.056585003,0.65469027,0.02931758,-0.037236165,0.25315243,0.004702325,0.00039390038,0.10667902,0.000885313,0.040802144,-0.017795732,0.077802226,0.099082425,0.07831269,-0.0058995294,0.031980332,0.008893147,-0.00482467,-0.0053577716,0.116275355,-0.07865498,-0.15777034,6.0288905e-05,-0.039164014,0.0682093,0.044678368,0.061226085,0.1972216,-0.040508077,-0.08856024,0.040647596,2653,1
-0.053432483,-0.22588575,-0.050475687,-0.070280656,0.14591606,0.023657253,-0.00015909968,0.030824028,0.005692723,-0.034883782,-0.10276005,0.010138043,0.01392521,-0.09328265,-0.18472406,0.28216434,0.020063896,-0.004071805,0.006049857,0.17845355,-0.12911864,-0.21816091,-0.13527848,-0.03066355,-0.15653926,-0.12413094,0.026847487,-0.110673524,0.09775374,-0.0443335,-0.07666263,1055,0
-0.027626337,-0.23251393,0.07808621,-0.050858986,-0.25000343,-0.022525175,0.0019926168,0.022738913,0.0017667337,-0.093406424,0.03269839,0.00871103,-0.019298855,0.2774262,-0.0139490925,0.030820701,0.018291317,0.015939921,0.0037235569,-0.08036003,0.082498565,0.056772385,-0.19424765,0.0041062026,0.32812446,0.014607617,-0.06391453,0.19621174,0.011511596,0.11773012,-0.0012971808,705,0
-0.04031864,-0.31969225,0.04840378,-0.012889779,-0.27482843,0.049716137,0.0011505663,0.031069912,0.005047716,0.059755508,-0.062128305,-0.034379043,0.05381006,0.07925092,0.0074673607,-0.0544513,0.009660417,-0.0035502706,-0.006354575,0.09036899,-0.18549691,-0.24387844,-0.054932397,-0.053424094,0.039356742,-0.0024013235,-0.0052370867,0.26467407,-0.030829111,-0.10486044,-0.015674397,106,0
-0.04904785,-0.2653419,0.025587196,-0.059878003,-0.116363585,0.007643317,0.0009866182,-0.05345659,0.0018172099,0.025707513,-0.08140312,-0.016531225,-0.1313644,-0.13445736,-0.14195912,-0.0107401665,0.013894077,0.026116598,0.00064482307,-0.036553215,-0.026162248,-0.22965927,0.047904506,0.05533057,0.012035215,0.016294263,-0.008089666,-0.119486436,-0.039799467,-0.055430237,0.03023438,589,0
-0.062248707,-0.2686893,-0.03330909,-0.020310804,0.21683668,-0.02959689,-6.404317e-05,0.12958357,0.00032873426,-0.07078577,0.020016154,-0.04755541,0.047599792,0.08451341,-0.11624496,0.31297922,0.012551626,-0.021217473,-0.015123076,0.12435911,0.013767345,-0.11897332,-0.060248423,-0.08873409,-0.026419094,0.024189752,0.0369245,-0.2287353,-0.049962025,-0.052491285,-0.045680676,2468,0
-0.03851109,-0.21348312,-0.29173577,-0.03327637,0.2401053,0.0106541915,0.0011820465,0.064165056,7.997677e-05,-0.027917508,0.047536604,-0.08505075,0.050902694,-0.18458201,-0.013013157,0.0073159225,0.013957061,-0.04951252,-0.0067007123,-0.0020882117,-0.16344619,0.04526511,-0.14779575,-0.03421649,-0.0023789778,0.0023397044,0.01748468,0.049591247,-0.056195706,-0.10976401,-0.06403202,2413,0
0.1431672,-0.19509232,0.024413565,-0.015934316,-0.40724373,-0.007054257,0.0009866182,0.022892471,0.0005468752,-0.27869007,0.0138771515,-0.07013264,-0.10558084,0.12896425,0.053808637,-0.14006174,0.0037382084,0.018945992,-0.04938157,-0.034153953,-0.015705176,0.05371842,0.05575458,0.021362118,0.20906982,0.026747968,-0.22852996,0.1918898,-0.023761913,-0.022269212,0.011943524,1600,0
